32
11001110110001010011010011111101
MMSE:01001110110001010010010011011101
0 0.45744926099632377
0 1 0.17280551441782116
0 2 0.3456110288356423
0 3 0.6912220576712846
0 4 0.0
0 5 0.0
0 6 0.0
0 7 0.0
0 8 0.04623707851351693
0 9 0.09247415702703386
0 10 0.18494831405406773
0 11 0.36989662810813545
0 12 -0.036539842827800484
0 13 -0.07307968565560097
0 14 -0.14615937131120194
0 15 -0.29231874262240387
0 16 0.026935624762379935
0 17 0.05387124952475987
0 18 0.10774249904951974
0 19 0.21548499809903948
0 20 -0.051605678740651834
0 21 -0.10321135748130367
0 22 -0.20642271496260733
0 23 -0.41284542992521467
0 24 -0.06964252473911278
0 25 -0.13928504947822556
0 26 -0.27857009895645113
0 27 -0.5571401979129023
0 28 -0.053158670729792405
0 29 -0.10631734145958481
0 30 -0.21263468291916962
0 31 -0.42526936583833924
1 1.001301279201558
1 2 0.6912220576712846
1 3 1.3824441153425693
1 4 0.0
1 5 0.0
1 6 0.0
1 7 0.0
1 8 0.09247415702703386
1 9 0.18494831405406773
1 10 0.36989662810813545
1 11 0.7397932562162709
1 12 -0.07307968565560097
1 13 -0.14615937131120194
1 14 -0.29231874262240387
1 15 -0.5846374852448077
1 16 0.05387124952475987
1 17 0.10774249904951974
1 18 0.21548499809903948
1 19 0.43096999619807896
1 20 -0.10321135748130367
1 21 -0.20642271496260733
1 22 -0.41284542992521467
1 23 -0.8256908598504293
1 24 -0.13928504947822556
1 25 -0.27857009895645113
1 26 -0.5571401979129023
1 27 -1.1142803958258045
1 28 -0.10631734145958481
1 29 -0.21263468291916962
1 30 -0.42526936583833924
1 31 -0.8505387316766785
2 2.348213587238759
2 3 2.7648882306851386
2 4 0.0
2 5 0.0
2 6 0.0
2 7 0.0
2 8 0.18494831405406773
2 9 0.36989662810813545
2 10 0.7397932562162709
2 11 1.4795865124325418
2 12 -0.14615937131120194
2 13 -0.29231874262240387
2 14 -0.5846374852448077
2 15 -1.1692749704896155
2 16 0.10774249904951974
2 17 0.21548499809903948
2 18 0.43096999619807896
2 19 0.8619399923961579
2 20 -0.20642271496260733
2 21 -0.41284542992521467
2 22 -0.8256908598504293
2 23 -1.6513817197008587
2 24 -0.27857009895645113
2 25 -0.5571401979129023
2 26 -1.1142803958258045
2 27 -2.228560791651609
2 28 -0.21263468291916962
2 29 -0.42526936583833924
2 30 -0.8505387316766785
2 31 -1.701077463353357
3 6.078871289820087
3 4 0.0
3 5 0.0
3 6 0.0
3 7 0.0
3 8 0.36989662810813545
3 9 0.7397932562162709
3 10 1.4795865124325418
3 11 2.9591730248650836
3 12 -0.29231874262240387
3 13 -0.5846374852448077
