32
11100000011111111111011001101110
MMSE:11100000011111111111011001101110
0 0.23360520490295061
0 1 0.3549304212512378
0 2 0.7098608425024756
0 3 1.4197216850049512
0 4 0.0
0 5 0.0
0 6 0.0
0 7 0.0
0 8 0.027519380045569388
0 9 0.055038760091138776
0 10 0.11007752018227755
0 11 0.2201550403645551
0 12 0.00781550854274898
0 13 0.01563101708549796
0 14 0.03126203417099592
0 15 0.06252406834199184
0 16 0.055747646147097915
0 17 0.11149529229419583
0 18 0.22299058458839166
0 19 0.4459811691767833
0 20 -0.0891220715414038
0 21 -0.1782441430828076
0 22 -0.3564882861656152
0 23 -0.7129765723312304
0 24 -0.004006032674221605
0 25 -0.00801206534844321
0 26 -0.01602413069688642
0 27 -0.03204826139377284
0 28 -0.02080196765288227
0 29 -0.04160393530576454
0 30 -0.08320787061152908
0 31 -0.16641574122305816
1 0.64467562043152
1 2 1.4197216850049512
1 3 2.8394433700099024
1 4 0.0
1 5 0.0
1 6 0.0
1 7 0.0
1 8 0.055038760091138776
1 9 0.11007752018227755
1 10 0.2201550403645551
1 11 0.4403100807291102
1 12 0.01563101708549796
1 13 0.03126203417099592
1 14 0.06252406834199184
1 15 0.12504813668398368
1 16 0.11149529229419583
1 17 0.22299058458839166
1 18 0.4459811691767833
1 19 0.8919623383535666
1 20 -0.1782441430828076
1 21 -0.3564882861656152
1 22 -0.7129765723312304
1 23 -1.4259531446624607
1 24 -0.00801206534844321
1 25 -0.01602413069688642
1 26 -0.03204826139377284
1 27 -0.06409652278754568
1 28 -0.04160393530576454
1 29 -0.08320787061152908
1 30 -0.16641574122305816
1 31 -0.3328314824461163
2 1.9992120833655158
2 3 5.678886740019805
2 4 0.0
2 5 0.0
2 6 0.0
2 7 0.0
2 8 0.11007752018227755
2 9 0.2201550403645551
2 10 0.4403100807291102
2 11 0.8806201614582204
2 12 0.03126203417099592
2 13 0.06252406834199184
2 14 0.12504813668398368
2 15 0.25009627336796736
2 16 0.22299058458839166
2 17 0.4459811691767833
2 18 0.8919623383535666
2 19 1.7839246767071333
2 20 -0.3564882861656152
2 21 -0.7129765723312304
2 22 -1.4259531446624607
2 23 -2.8519062893249214
2 24 -0.01602413069688642
2 25 -0.03204826139377284
2 26 -0.06409652278754568
2 27 -0.12819304557509137
2 28 -0.08320787061152908
2 29 -0.16641574122305816
2 30 -0.3328314824461163
2 31 -0.6656629648922326
3 6.837867536740934
3 4 0.0
3 5 0.0
3 6 0.0
3 7 0.0
3 8 0.2201550403645551
3 9 0.4403100807291102
3 10 0.8806201614582204
3 11 1.7612403229164408
3 12 0.06252406834199184
3 13 0.12504813668398368
3 14 0.25009627336796736
3 15 0.5001925467359347
3 16 0.4459811691767833
3 17 0.8919623383535666
3 18 1.7839246767071333
3 19 3.5678493534142666
3 20 -0.7129765723312304
3 21 -1.4259531446624607
3 22 -2.8519062893249214
3 23 -5.703812578649843
3 24 -0.03204826139377284
3 25 -0.06409652278754568
3 26 -0.12819304557509137
3 27 -0.25638609115018274
3 28 -0.16641574122305816
3 29 -0.3328314824461163
3 30 -0.6656629648922326
3 31 -1.3313259297844653
4 -1.6256900896497524
4 5 0.3549304212512378
4 6 0.7098608425024756
4 7 1.4197216850049512
4 8 -0.007815508542748973
4 9 -0.015631017085497946
4 10 -0.03126203417099589
4 11 -0.06252406834199178
4 12 0.027519380045569388
4 13 0.055038760091138776
4 14 0.11007752018227755
4 15 0.2201550403645551
4 16 0.0891220715414038
4 17 0.1782441430828076
4 18 0.3564882861656152
4 19 0.7129765723312304
4 20 0.05574764614709791
4 21 0.11149529229419582
4 22 0.22299058458839163
4 23 0.44598116917678327
4 24 0.02080196765288227
4 25 0.04160393530576454
4 26 0.08320787061152908
4 27 0.16641574122305816
4 28 -0.004006032674221609
4 29 -0.008012065348443217
4 30 -0.016024130696886435
4 31 -0.03204826139377287
5 -3.073914968673886
5 6 1.4197216850049512
5 7 2.8394433700099024
5 8 -0.015631017085497946
5 9 -0.03126203417099589
5 10 -0.06252406834199178
5 11 -0.12504813668398357
5 12 0.055038760091138776
5 13 0.11007752018227755
5 14 0.2201550403645551
5 15 0.4403100807291102
5 16 0.1782441430828076
5 17 0.3564882861656152
5 18 0.7129765723312304
5 19 1.4259531446624607
5 20 0.11149529229419582
5 21 0.22299058458839163
5 22 0.44598116917678327
5 23 0.8919623383535665
5 24 0.04160393530576454
5 25 0.08320787061152908
5 26 0.16641574122305816
5 27 0.3328314824461163
5 28 -0.008012065348443217
5 29 -0.016024130696886435
5 30 -0.03204826139377287
5 31 -0.06409652278754574
6 -5.437969094845296
6 7 5.678886740019805
6 8 -0.03126203417099589
6 9 -0.06252406834199178
6 10 -0.12504813668398357
6 11 -0.25009627336796714
6 12 0.11007752018227755
6 13 0.2201550403645551
6 14 0.4403100807291102
6 15 0.8806201614582204
6 16 0.3564882861656152
6 17 0.7129765723312304
6 18 1.4259531446624607
6 19 2.8519062893249214
6 20 0.22299058458839163
6 21 0.44598116917678327
6 22 0.8919623383535665
6 23 1.783924676707133
6 24 0.08320787061152908
6 25 0.16641574122305816
6 26 0.3328314824461163
6 27 0.6656629648922326
6 28 -0.016024130696886435
6 29 -0.03204826139377287
6 30 -0.06409652278754574
6 31 -0.12819304557509148
7 -8.03649481968069
7 8 -0.06252406834199178
7 9 -0.12504813668398357
7 10 -0.25009627336796714
7 11 -0.5001925467359343
7 12 0.2201550403645551
7 13 0.4403100807291102
7 14 0.8806201614582204
7 15 1.7612403229164408
7 16 0.7129765723312304
7 17 1.4259531446624607
7 18 2.8519062893249214
7 19 5.703812578649843
7 20 0.44598116917678327
7 21 0.8919623383535665
7 22 1.783924676707133
7 23 3.567849353414266
7 24 0.16641574122305816
7 25 0.3328314824461163
7 26 0.6656629648922326
7 27 1.3313259297844653
7 28 -0.03204826139377287
7 29 -0.06409652278754574
7 30 -0.12819304557509148
7 31 -0.25638609115018296
8 -0.9718851304305933
8 9 0.17985677082480228
8 10 0.35971354164960456
8 11 0.7194270832992091
8 12 0.0
8 13 0.0
8 14 0.0
8 15 0.0
8 16 0.002749240922441644
8 17 0.005498481844883288
8 18 0.010996963689766576
8 19 0.02199392737953315
8 20 0.008930287238428782
8 21 0.017860574476857564
8 22 0.03572114895371513
8 23 0.07144229790743026
8 24 0.010691453061416663
8 25 0.021382906122833327
8 26 0.042765812245666654
8 27 0.08553162449133331
8 28 -0.002303649518787372
